"Device";"Package";"Value";"Count";"Component Names"
"1-strap";"strap-sil2";"";"2";"S1, S2"
"1n540x";"do201";"1N5404";"2";"D1, D2"
"bc547";"to92";"BC547";"2";"T1, T2"
"bdw94c";"to220";"BDW94C";"2";"T3, T4"
"grid-100mils-1-3";"grid-100mils-1-3";"";"1";"K1"
"hole";"hole-3mm";"";"4";"H1, H2, H3, H4"
"resistor";"mf25-rect";"4,7kΩ";"2";"R3, R4"
"resistor";"mf25-rect";"10kΩ";"2";"R1, R2"
"resistor";"mf25-rect";"100Ω";"1";"R5"
"terminal-block-2-way-200mils";"terminal-block-2-200mils";"";"3";"K2, K3, K4"
