"Device";"Package";"Value";"Count";"Component Names"
"1-strap";"strap-sil2";"";"8";"S1, S2, S3, S4, S5, S6, S7, S8"
"1n400x";"do41-long";"BA159";"1";"D2"
"aluminium-capacitor";"axial-capacitor-45";"47µF 16V";"1";"C5"
"am1ss-nz-dc-dc-converter";"am1ss-nz";"AM1SS-1515S-NZ";"1";"IC4"
"b6252h5-npp3g-50";"b6252h5-npp3g-50";"";"8";"K1, K2, K3, K8, K18, K23, K24, K25"
"ceramic-multi-layer-capacitor";"ceramic-multi-layer-capacitor-200mil";"100nF";"3";"C1, C2, C3"
"ceramic-multi-layer-capacitor";"ceramic-multi-layer-capacitor-200mil";"330nF";"2";"C4, C6"
"dc-supply-5-5mm-2-1mm";"dc-supply-5-5mm-2-1mm";"";"1";"K9"
"grid-1-2";"grid-100mils-1-2";"";"8";"K4, K5, K6, K7, K19, K20, K21, K22"
"hole";"hole-3-2mm";"";"4";"H1, H2, H3, H4"
"led";"round-led-3mm";"ROUGE";"1";"D1"
"lm78xx";"to220";"7815";"1";"IC1"
"resistor";"mf25-rect";"1MΩ";"4";"Ra3, Rb1, Rc3, Rd1"
"resistor";"mf25-rect";"3,9kΩ 1%";"4";"Ra4, Rb4, Rc4, Rd4"
"resistor";"mf25-rect";"6,8µH";"1";"L1"
"resistor";"mf25-rect";"24kΩ 1%";"4";"Ra2, Rb2, Rc2, Rd2"
"resistor";"mf25-rect";"82kΩ 1%";"4";"Ra5, Rb5, Rc5, Rd5"
"resistor";"mf25-rect";"91kΩ 1%";"4";"Ra1, Rb3, Rc1, Rd3"
"resistor";"mf25-rect";"3300Ω";"1";"R1"
"terminal-block-2-way-3-5mm";"terminal-block-2-3-5mm";"Ra1x";"1";"K13"
"terminal-block-2-way-3-5mm";"terminal-block-2-3-5mm";"Ra1y";"1";"K17"
"terminal-block-2-way-3-5mm";"terminal-block-2-3-5mm";"Rb1x";"1";"K12"
"terminal-block-2-way-3-5mm";"terminal-block-2-3-5mm";"Rb1y";"1";"K16"
"terminal-block-2-way-3-5mm";"terminal-block-2-3-5mm";"Rc1x";"1";"K11"
"terminal-block-2-way-3-5mm";"terminal-block-2-3-5mm";"Rc1y";"1";"K15"
"terminal-block-2-way-3-5mm";"terminal-block-2-3-5mm";"Rd1x";"1";"K10"
"terminal-block-2-way-3-5mm";"terminal-block-2-3-5mm";"Rd1y";"1";"K14"
"tl074";"dil14";"LM324";"2";"IC2, IC3"
"unpolarized-capacitor";"0805";"4,7nF";"8";"Ca1, Ca2, Cb1, Cb2, Cc1, Cc2, Cd1, Cd2"
