"Device";"Package";"Value";"Count";"Component Names"
"1n400x";"do41";"BA159";"1";"D1"
"1n4148";"do35";"1N4148";"8";"D3, D4, D5, D6, D7, D8, D10, D11"
"5-isolated-resistor-array";"sil10";"1kΩ";"1";"RN1"
"aluminium-capacitor";"axial-capacitor-45";"4,7µF, 50V";"1";"C7"
"am1ss-nz-dc-dc-converter";"am1ss-nz";"AM1SS-1515S-NZ";"1";"IC6"
"ceramic-multi-layer-capacitor";"ceramic-multi-layer-capacitor-200mil";"1µF";"2";"C9, C10"
"ceramic-multi-layer-capacitor";"ceramic-multi-layer-capacitor-200mil";"100nF";"11";"C2, C3, C4, C5, C6, C8, C11, C12, C13, C14, C15"
"ceramic-multi-layer-capacitor";"ceramic-multi-layer-capacitor-200mil";"330nF";"1";"C1"
"dc-supply-5-5mm-2-1mm";"dc-supply-5-5mm-2-1mm";"";"1";"K1"
"hole";"hole-3mm";"";"4";"H1, H2, H17, H18"
"hole";"hole-4mm";"";"4";"H3, H4, H5, H6"
"hole";"hole-4mm";"+15V";"1";"H7"
"hole";"hole-4mm";"ENTRÉE ANALOGIQUE 0";"1";"H11"
"hole";"hole-4mm";"ENTRÉE ANALOGIQUE 1";"1";"H16"
"hole";"hole-4mm";"ENTRÉE ANALOGIQUE BIPOLAIRE 0";"1";"H10"
"hole";"hole-4mm";"ENTRÉE ANALOGIQUE BIPOLAIRE 1";"1";"H15"
"hole";"hole-4mm";"GND";"1";"H14"
"hole";"hole-4mm";"SORTIE ANALOGIQUE BIPOLAIRE 0";"1";"H8"
"hole";"hole-4mm";"SORTIE ANALOGIQUE BIPOLAIRE 1";"1";"H12"
"hole";"hole-4mm";"SORTIE ANALOGIQUE UNIPOLAIRE 0";"1";"H9"
"hole";"hole-4mm";"SORTIE ANALOGIQUE UNIPOLAIRE 1";"1";"H13"
"ksa-pushbutton-switch";"ksa";"P0";"1";"S5"
"ksa-pushbutton-switch";"ksa";"P1";"1";"S4"
"ksa-pushbutton-switch";"ksa";"P2";"1";"S3"
"ksa-pushbutton-switch";"ksa";"P3";"1";"S2"
"ksa-pushbutton-switch";"ksa";"P4";"1";"S1"
"led";"round-led-3mm";"L0";"1";"D19"
"led";"round-led-3mm";"L1";"1";"D18"
"led";"round-led-3mm";"L2";"1";"D17"
"led";"round-led-3mm";"L3";"1";"D15"
"led";"round-led-3mm";"L4";"1";"D14"
"led";"round-led-3mm";"Verte";"4";"D2, D9, D13, D16"
"led";"round-led-3mm";"verte";"1";"D12"
"lm78xx";"to220";"7805";"1";"IC1"
"lm78xx";"to220";"7815";"1";"IC2"
"mc-34064";"to92-bent";"MC34064";"1";"T1"
"mcp1702";"to92";"MCP1702";"1";"IC5"
"mcp23s17";"dil28";"MCP23S17";"1";"IC7"
"mcp49x2";"dil14";"MCP4902";"2";"IC8, IC9"
"multiturn-cermet-trimmer";"43p";"10kΩ";"1";"P1"
"nucleo-32";"nucleo-32";"STM32L432KC";"1";"IC3"
"resistor";"mf25-rect";"6,8µH";"1";"L1"
"resistor";"mf25-rect";"15kΩ 1%";"12";"R15, R16, R20, R23, R27, R28, R29, R30, R31, R32, R33, R34"
"resistor";"mf25-rect";"33kΩ 1%";"12";"R19, R21, R22, R24, R25, R35, R36, R37, R38, R39, R40, R41"
"resistor";"mf25-rect";"56Ω";"1";"R11"
"resistor";"mf25-rect";"220Ω";"1";"R8"
"resistor";"mf25-rect";"330Ω";"9";"R3, R6, R9, R10, R12, R14, R17, R18, R26"
"resistor";"mf25-rect";"470Ω";"6";"R1, R2, R4, R5, R7, R13"
"rotary-encoder-ec11";"square-encoder";"EC11";"1";"SW1"
"tl074";"dil14";"TL074";"2";"IC10, IC11"
"uln2064b";"dil16";"ULN2064B";"1";"IC4"
"xiamen-lcd-16-4-module";"xiamen-gmd1604b";"";"1";"LCD1"
