"Device";"Package";"Value";"Count";"Component Names"
"1-dip-switch";"dil02";"";"2";"S1, S2"
"1n400x";"do41";"SB130";"2";"D1, D2"
"1n400x";"do41-long";"1N4001";"1";"D8"
"5-isolated-resistor-array";"sil10";"1kΩ";"1";"RN1"
"6p4c-modular-jack";"6p4c-right-angle-modular-jack-low-profile";"";"4";"K1, K2, K3, K4"
"7-bussed-resistor-array";"sil8";"330Ω";"1";"RN2"
"ceramic-multi-layer-capacitor";"ceramic-multi-layer-capacitor-200mil";"100nF";"6";"C1, C2, C3, C5, C6, C7"
"ceramic-multi-layer-capacitor";"ceramic-multi-layer-capacitor-200mil";"330nF";"1";"C4"
"grid-100mils-1-3";"grid-100mils-1-3";"";"3";"K6, K7, K11"
"grid-100mils-1-6";"grid-100mils-1-6";"";"1";"K8"
"hole";"hole-3mm";"";"4";"H1, H2, H3, H4"
"ksa-pushbutton-switch";"ksa";"";"6";"S3, S4, S5, S6, S7, S8"
"led";"round-led-3mm";"ROUGE";"5";"D3, D4, D5, D6, D7"
"led";"round-led-3mm";"VERTE";"2";"D9, D10"
"lm78xx";"to220";"7805";"1";"IC3"
"mcp2517fd";"mcp2517fd-100mils-adapter";"MCP2518FD";"1";"IC5"
"mcp2562";"dil08";"MCP2542FD";"1";"IC1"
"mcp2562";"dil08";"MCP2562";"1";"IC2"
"multiturn-cermet-trimmer";"43p";"10kΩ";"1";"T1"
"ninigi-zl-211-male-pin-header-angled-3";"zl211-3";"";"1";"K9"
"ninigi-zl-211-male-pin-header-angled-8";"zl211-8";"";"1";"K10"
"raspberry-pi-pico-wo-dbg";"raspberry-pi-pico-wo-dbg";"RASPBERRY PI PICO";"1";"IC4"
"resistor";"mf25-rect";"10kΩ";"1";"R4"
"resistor";"mf25-rect";"56Ω";"1";"R5"
"resistor";"mf25-rect";"120Ω";"2";"R1, R2"
"resistor";"mf25-rect";"470Ω";"1";"R3"
"terminal-block-2ways-angled";"terminal-block-2-3-81mm-angled";"ALIM";"1";"K5"
"xiamen-lcd-16-4-module";"xiamen-gmd1604b";"";"1";"LCD1"
