"Device";"Package";"Value";"Count";"Component Names"
"1-strap";"strap-sil2";"";"1";"S1"
"1n400x";"do41";"BA159";"3";"D5, D7, D11"
"1n400x";"do41";"SB130";"1";"D3"
"1n4148";"do35";"1N4148";"2";"D1, D2"
"5-isolated-resistor-array";"sil10";"1kΩ";"1";"RN1"
"bc547";"to92-bent";"BC337";"2";"T2, T3"
"ceramic-multi-layer-capacitor";"ceramic-multi-layer-capacitor-200mil";"100nF";"7";"C1, C2, C3, C4, C5, C6, C7"
"hole";"hole-3mm";"";"4";"H1, H2, H9, H10"
"hole";"hole-4mm";"+T";"1";"H6"
"hole";"hole-4mm";"GND";"1";"H8"
"hole";"hole-4mm";"L0";"1";"H5"
"hole";"hole-4mm";"L1";"1";"H4"
"hole";"hole-4mm";"L2";"1";"H3"
"hole";"hole-4mm";"MOT";"1";"H7"
"irdf9024";"hexdip04";"IRDF9024";"1";"T4"
"ksa-pushbutton-switch";"ksa";"";"5";"S3, S5, S6, S7, S8"
"led";"round-led-3mm";"";"4";"D4, D6, D8, D9"
"led";"round-led-3mm";"L0";"1";"D10"
"led";"round-led-3mm";"verte";"1";"D12"
"lm317";"to220";"LM317T";"1";"IC1"
"lm78xx";"to220";"7805";"1";"IC2"
"lm78xx";"to220";"7818";"1";"IC3"
"multiturn-cermet-trimmer";"43p";"10kΩ";"1";"T1"
"ninigi-zl-211-male-pin-header-angled-3";"zl211-3";"SERVO 0-20";"1";"K3"
"ninigi-zl-211-male-pin-header-angled-3";"zl211-3";"SERVO 1-21";"1";"K2"
"ninigi-zl-263-female-pin-header-angled-6";"zl263-6";"";"1";"K1"
"resistor";"mf25-rect";"1kΩ";"2";"R16, R17"
"resistor";"mf25-rect";"2,2kΩ";"1";"R12"
"resistor";"mf25-rect";"4,7kΩ";"2";"R1, R9"
"resistor";"mf25-rect";"10kΩ";"1";"R2"
"resistor";"mf25-rect";"15Ω";"1";"R13"
"resistor";"mf25-rect";"56Ω";"1";"R10"
"resistor";"mf25-rect";"240Ω1%";"1";"R7"
"resistor";"mf25-rect";"330Ω";"5";"R4, R5, R11, R15, R18"
"resistor";"mf25-rect";"470Ω";"7";"R6, R8, R14, R19, R20, R21, R22"
"resistor";"mf25-rect";"750Ω1%";"1";"R3"
"rotary-encoder-ec11";"square-encoder";"EC11";"1";"SW1"
"strap-1-1";"strap-sil1";"";"5";"S2, S4, S9, S10, S11"
"teensy-3-1";"teensy-3-1";"";"1";"TEEN1"
"xiamen-lcd-16-4-module";"xiamen-gmd1604b";"";"1";"LCD1"
