"Device";"Package";"Value";"Count";"Component Names"
"1-strap";"strap-sil2";"";"1";"S3"
"1n400x";"do41";"1N400x";"1";"D6"
"1n400x";"do41-long";"SB130";"1";"D5"
"1n540x";"do201";"1N5404";"1";"D7"
"3-dip-switch";"dil06";"";"1";"S2"
"aluminium-capacitor";"radial-capacitor-20-55";"4,7µF 50V Aluminium";"1";"C3"
"aluminium-capacitor";"radial-capacitor-35-80";"100µF 50V Aluminium";"1";"C6"
"aluminium-capacitor";"radial-capacitor-100-50";"100µF 100V";"1";"C5"
"am1ss-nz-dc-dc-converter";"am1ss-nz";"AM1SS-0509S-NZ";"1";"IC3"
"amsri-78-nz";"amsri-78-nz";"AMSRB1-7805-JZ";"1";"IC6"
"grid-1-14";"grid-100mils-1-14";"";"1";"K2"
"grid-100mils-1-9";"sil9";"";"1";"K1"
"hole";"hole-3-2mm";"";"4";"H1, H2, H3, H4"
"ksa-pushbutton-switch";"ksa";"RESET";"1";"S1"
"led";"round-led-3mm";"GP0";"1";"D1"
"led";"round-led-3mm";"GP1";"1";"D2"
"led";"round-led-3mm";"GP2";"1";"D3"
"led";"round-led-3mm";"GP3";"1";"D4"
"lm78xx";"to220";"7805";"1";"IC2"
"mct6";"dil08";"MCT62";"1";"IC4"
"raspberry-pi-pico-wo-dbg";"raspberry-pi-pico-wo-dbg";"Raspberry Pi Pico";"1";"IC1"
"resistor";"mf25-rect";"4,7kΩ";"2";"R8, R9"
"resistor";"mf25-rect";"6,8 µH";"1";"L1"
"resistor";"mf25-rect";"47Ω";"1";"R7"
"resistor";"mf25-rect";"180Ω";"2";"R5, R6"
"resistor";"mf25-rect";"220Ω";"4";"R1, R2, R3, R4"
"tb6643kq";"hsip7-p-2-54a";"TB6643KQ";"1";"IC5"
"terminal-block-2-way-200mils";"terminal-block-2-200mils";"";"1";"K3"
"terminal-block-2-way-3-5mm";"terminal-block-2-3-5mm";"";"1";"K4"
"unpolarized-capacitor";"ceramic-multi-layer-capacitor-200mil";"1µF 100V";"1";"C4"
"unpolarized-capacitor";"ceramic-multi-layer-capacitor-200mil";"22µF 10V Tantale";"1";"C7"
"unpolarized-capacitor";"ceramic-multi-layer-capacitor-200mil";"100nF";"1";"C1"
"unpolarized-capacitor";"ceramic-multi-layer-capacitor-200mil";"330nF";"1";"C2"
